seq,M,N,K,path,site,kernel,threadgroups,tg_per_core,gflop,ms_raw_mean,ms_raw_sd,ms
43,512,256,2048,splitk,MoE router logits GEMM (38 MoE layers),steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,256,12.8,0.5369,0.10190819739364088,0.0004586765004980936,0.1001017585063182
44,512,1024,2048,splitk,"attn wk / wv  (K and V projections, all 40 layers)",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,1024,51.2,2.1475,0.3397500026039779,0.0010816906707943892,0.3337275467822826
45,512,1024,2048,splitk,"attn wk / wv  (K and V projections, all 40 layers)",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,1024,51.2,2.1475,0.34049200476147234,0.002613961979675025,0.3344563961062852
46,512,8192,2048,regular,"attn wq, sliding-window layers + layer-0 dense gate/up",steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2,1024,51.2,17.1799,2.3392500006593764,0.00230104965467398,2.2977841296457027
47,512,64,2048,splitk,"attn g_proj (per-head gate), sliding-window layers",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,128,6.4,0.1342,0.03461680607870221,0.00015129845176907675,0.034003183757291416
48,512,2048,8192,regular,"attn wo, sliding-window layers + layer-0 dense down",steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2,256,12.8,17.1799,2.444983395980671,0.003110083523675119,2.4016432800889405
49,512,256,2048,splitk,MoE router logits GEMM (38 MoE layers),steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,256,12.8,0.5369,0.10289159836247563,0.0002911250076794903,0.1010677275727411
50,512,1024,2048,splitk,"attn wk / wv  (K and V projections, all 40 layers)",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,1024,51.2,2.1475,0.3400248009711504,0.0021128413625446604,0.33399747403536095
51,512,1024,2048,splitk,"attn wk / wv  (K and V projections, all 40 layers)",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,1024,51.2,2.1475,0.34156659967266023,0.0010445192435605349,0.3355119425985496
52,512,6144,2048,regular,"attn wq, full-attention layers",steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2,768,38.4,12.8849,1.7647418077103794,0.001303924415177793,1.7334597488665924
53,512,48,2048,splitk,"attn g_proj (per-head gate), full-attention layers",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_naligned_K_taligned,128,6.4,0.1007,0.03585820086300373,0.00033150688257361344,0.03522257340490879
54,512,2048,6144,regular,"attn wo, full-attention layers",steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2,256,12.8,12.8849,1.8448666029144078,0.0020983523703481384,1.8121642408016283
55,512,256,2048,splitk,MoE router logits GEMM (38 MoE layers),steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,256,12.8,0.5369,0.1021333911921829,0.0009857892883503338,0.100322960488252
56,512,1024,2048,splitk,"attn wk / wv  (K and V projections, all 40 layers)",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,1024,51.2,2.1475,0.3402334055863321,0.001801017031736602,0.334202380896107
57,512,1024,2048,splitk,"attn wk / wv  (K and V projections, all 40 layers)",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,1024,51.2,2.1475,0.34112499561160803,0.001203485000211279,0.3350781664725319
58,512,8192,2048,regular,"attn wq, sliding-window layers + layer-0 dense gate/up",steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2,1024,51.2,17.1799,2.3390165995806456,0.0026561285105371774,2.297554865866971
59,512,64,2048,splitk,"attn g_proj (per-head gate), sliding-window layers",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,128,6.4,0.1342,0.03497479483485222,0.00026615357032395314,0.034354826754936486
60,512,2048,8192,regular,"attn wo, sliding-window layers + layer-0 dense down",steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2,256,12.8,17.1799,2.4439166008960456,0.0013992735550100053,2.4005953951624277
61,512,256,2048,splitk,MoE router logits GEMM (38 MoE layers),steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,256,12.8,0.5369,0.10266679455526173,0.000357133443525787,0.10084690866909488
62,512,1024,2048,splitk,"attn wk / wv  (K and V projections, all 40 layers)",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,1024,51.2,2.1475,0.3398667962756008,0.0014743398928516293,0.3338422701530307
63,512,1024,2048,splitk,"attn wk / wv  (K and V projections, all 40 layers)",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,1024,51.2,2.1475,0.33985819900408387,0.001802832693070535,0.333833825277945
64,512,8192,2048,regular,"attn wq, sliding-window layers + layer-0 dense gate/up",steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2,1024,51.2,17.1799,2.340683405054733,0.0007701916304913691,2.299192125315292
65,512,64,2048,splitk,"attn g_proj (per-head gate), sliding-window layers",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,128,6.4,0.1342,0.03605839447118342,0.00199026209799988,0.035419218353333344
66,512,2048,8192,regular,"attn wo, sliding-window layers + layer-0 dense down",steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2,256,12.8,17.1799,2.445691800676286,0.0016819229047462475,2.402339127504348
67,512,256,2048,splitk,MoE router logits GEMM (38 MoE layers),steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,256,12.8,0.5369,0.10258320835418999,0.000593003692271073,0.10076480412865418
68,512,1024,2048,splitk,"attn wk / wv  (K and V projections, all 40 layers)",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,1024,51.2,2.1475,0.34020000603049994,0.0031792590161963904,0.334169573385449
69,512,1024,2048,splitk,"attn wk / wv  (K and V projections, all 40 layers)",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,1024,51.2,2.1475,0.3400167974177748,0.0023553825441129453,0.3339896123540862
70,512,8192,2048,regular,"attn wq, sliding-window layers + layer-0 dense gate/up",steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2,1024,51.2,17.1799,2.355041599366814,0.0386308436649359,2.313295804277083
71,512,64,2048,splitk,"attn g_proj (per-head gate), sliding-window layers",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,128,6.4,0.1342,0.03486660425551236,0.00040548458073843814,0.0342485539768605
72,512,2048,8192,regular,"attn wo, sliding-window layers + layer-0 dense down",steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2,256,12.8,17.1799,2.446300000883639,0.002638258120726101,2.4029365466701953
73,512,256,2048,splitk,MoE router logits GEMM (38 MoE layers),steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,256,12.8,0.5369,0.1021415926516056,0.0005492743398313032,0.10033101656746377
74,512,1024,2048,splitk,"attn wk / wv  (K and V projections, all 40 layers)",steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned,1024,51.2,2.1475,0.34048320376314223,0.0015830367657396357,0.3344477511156761
