# dispatch trace old vs new
total dispatches: old=11248 new=11244 delta=-4
last complete decode-step block length: old=408 new=408
per-decode-step dispatch delta = 0 -> priced +0.00 us/step at 0.3 us/dispatch

## per-kernel dispatch counts (whole trace)
kernel                                                                      old      new   delta
custom_kernel_laguna_sliding_fused_attn_ring_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_uint32_tc_floatc_bfloat16_t      180      180      +0
custom_kernel_mlx_lm_route_csort_scatter_fused_m8_u32_v4_uint32_t_uint32_t_uint32_t_uint32_t       76       76      +0
g1_NotEqualuint8                                                            156      156      +0
g1_copyuint8uint8                                                             3        3      +0
g2_Addint32                                                                  80       80      +0
g2_Dividefloat32                                                              1        1      +0
g2_Equaluint8                                                                80       80      +0
g2_Multiplybfloat16                                                          80       80      +0
g2_Selectint32                                                               80       80      +0
g2_Selectuint8                                                               80       80      +0
g2_Subtractint32                                                             80       80      +0
g2_copybfloat16bfloat16                                                     154      154      +0
g2_copyuint8uint8                                                            80       80      +0
g3_copybfloat16bfloat16                                                      60       60      +0
g3_copyint32int32                                                            80       80      +0
g3_copyuint8uint8                                                           119      119      +0
gather_frontbfloat16_int32_int_2                                             13       13      +0
gather_frontbfloat16_uint32_int_2                                            76       76      +0
gather_frontint32_int32_int_1                                               234      234      +0
gatheruint8int32_1_0_int                                                    234      234      +0
gatheruint8int32_1_1_int                                                     39       39      +0
gemv_al_bfloat16_bm4_bn1_sm1_sn32_tm4_tn4_nc0_axpby0                          2        2      +0
gemv_al_bfloat16_bm8_bn1_sm1_sn32_tm4_tn4_nc0_axpby0                          2        2      +0
gg1_copybfloat16bfloat16                                                      6        6      +0
gg1_copyint32int32                                                          160      160      +0
gg1_copyuint32uint32                                                        198      198      +0
gg1_copyuint8uint8                                                          510      510      +0
gg2_copybfloat16bfloat16                                                    100      100      +0
gg2_copyint32int32                                                          160      160      +0
gg2_copyuint32uint32                                                         78       78      +0
gg2_copyuint8uint8                                                           78       78      +0
gg3_copybfloat16bfloat16                                                     20       20      +0
