idx	kernel	kind	grid	group	barrier	enc	n_in	n_out
354	custom_kernel_laguna_residual_rms_router_bf16_2048_rpg8_keys_v1_pf1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_bfloat16_t_uint32_t	threads	16384x1x1	512x1x1	1	1088	9	4
355	custom_kernel_laguna_shared_nvfp4_swiglu_qmv_rows1_halved_bf16_v1_bfloat16_t_uint32_t_uint8_t_bfloat16_t	threads	16384x1x1	64x1x1	1	1088	4	1
356	custom_kernel_laguna_prefill_router_tournament_ordinal_norm_active64_v2_bfloat16_t_float_uint32_t_float	threads	256x1x1	256x1x1	0	1088	4	2
357	custom_kernel_laguna_routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2_bfloat16_t_uint32_t_uint8_t_uint32_t_bfloat16_t	threads	131072x1x1	64x1x1	0	1088	5	1
358	custom_kernel_laguna_routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6_bfloat16_t_uint32_t_uint8_t_uint32_t_float_bfloat16_t_uint32_t_uint8_t_bfloat16_t_bfloat16_t	threads	147456x1x1	288x1x1	1	1088	10	1
359	rmsbfloat16	threads	512x1x1	512x1x1	1	1088	3	1
360	custom_kernel_laguna_decode_nvfp4_qkv_h48_r1_v1_lm1_pw1_se1_sd1_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	threads	262144x1x1	64x1x1	1	1088	6	1
361	custom_kernel_laguna_full_fused_attn_grow_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_uint32_tc_floatc_bfloat16_t	threads	24576x1x1	1024x1x1	1	1088	11	1
362	custom_kernel_laguna_gate_sp_h48_v1_bfloat16_t_uint32_t_bfloat16_t_bfloat16_t_bfloat16_t	threads	384x1x1	64x1x1	0	1089	5	1
363	custom_kernel_laguna_oproj_act_h48_v1_lm1_pw1_sc1_se1_bfloat16_t_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	threads	16384x1x1	64x1x1	1	1089	7	1
364	custom_kernel_laguna_residual_rms_router_bf16_2048_rpg8_keys_v1_pf1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_bfloat16_t_uint32_t	threads	16384x1x1	512x1x1	1	1089	9	4
365	custom_kernel_laguna_shared_nvfp4_swiglu_qmv_rows1_halved_bf16_v1_bfloat16_t_uint32_t_uint8_t_bfloat16_t	threads	16384x1x1	64x1x1	1	1089	4	1
366	custom_kernel_laguna_prefill_router_tournament_ordinal_norm_active64_v2_bfloat16_t_float_uint32_t_float	threads	256x1x1	256x1x1	0	1089	4	2
