# host
device                       Apple M4 Pro
architecture                 applegpu_g16s
maxThreadgroupMemoryLength   32768
recommendedWorkingSetSize    40200896512
k_alu maxThreadsPerTG        1024
k_gemm maxThreadsPerTG       1024
counterSampling.stage        true
counterSampling.dispatch     false
counterSampling.blit         false
rounds=9 targetMs=20.0

# arms
pair,size,arm,wall_ms,busy_sum_ms,busy_union_ms,cbs,cbunion_overlap,cb_layout_ms
mem/mem,tg=10 iters=9,raw_1cb,36.907,36.708,36.708,1,0.000000,[0.000-36.708]
mem/mem,tg=240 iters=18,raw_1cb,38.775,38.618,38.618,1,0.000000,[0.000-38.618]
alu/alu,tg=1000 iters=50703,b_only,20.054,19.891,19.891,1,0.000000,[0.000-19.891]
gemm/gemm,small M=64 N=64 K=701296 tg=16,raw_1cb,43.732,43.566,43.566,1,0.000000,[0.000-43.566]
alu/mem,tg=10 alu=1535660 mem=9,b_only,18.631,18.440,18.440,1,0.000000,[0.000-18.440]
mem/mem,tg=10 iters=9,two_cb,82.116,163.842,81.934,2,0.499921,[0.000-81.934] [0.026-81.934]
gemm/gemm,fill M=512 N=1024 K=30896 tg=2048,serialenc_1cb,39.799,39.643,39.643,1,0.000000,[0.000-39.643]
alu/mem,tg=20 alu=1564873 mem=16,two_queue,20.261,39.774,20.111,2,0.494363,[0.000-20.111] [0.005-19.668]
mem/mem,tg=2 iters=2,raw_1cb,39.680,39.530,39.530,1,0.000000,[0.000-39.530]
alu/mem,tg=240 alu=199140 mem=18,raw_1cb,39.864,39.675,39.675,1,0.000000,[0.000-39.675]
gemm/gemm,half M=128 N=160 K=569744 tg=80,serialenc_1cb,38.176,38.035,38.035,1,0.000000,[0.000-38.035]
mem/mem,tg=10 iters=9,serialenc_1cb,37.190,37.048,37.048,1,0.000000,[0.000-37.048]
mem/mem,tg=2 iters=2,a_only,19.742,19.588,19.588,1,0.000000,[0.000-19.588]
mem/mem,tg=10 iters=9,two_queue,81.081,161.803,80.904,2,0.499986,[0.004-80.904] [0.000-80.904]
mem/mem,tg=2 iters=2,two_cb,55.488,110.622,55.314,2,0.499975,[0.000-55.314] [0.006-55.314]
gemm/gemm,half M=128 N=160 K=569744 tg=80,a_only,18.899,18.744,18.744,1,0.000000,[0.000-18.744]
alu/alu,tg=5 iters=1398660,barrier_1cb,36.253,36.102,36.102,1,0.000000,[0.000-36.102]
alu/alu,tg=5 iters=1398660,concurrent_1cb,18.465,18.306,18.306,1,0.000000,[0.000-18.306]
mem/mem,tg=240 iters=18,two_queue,37.673,75.012,37.520,2,0.499817,[0.005-37.497] [0.000-37.520]
gemm/gemm,fill M=512 N=1024 K=30896 tg=2048,barrier_1cb,39.300,39.137,39.137,1,0.000000,[0.000-39.137]
alu/mem,tg=20 alu=1564873 mem=16,barrier_1cb,39.027,38.882,38.882,1,0.000000,[0.000-38.882]
gemm/gemm,half M=128 N=160 K=569744 tg=80,two_cb_serial,37.724,37.431,37.431,2,0.000000,[0.000-18.791] [18.934-37.573]
alu/alu,tg=10 iters=1564051,a_only,19.981,19.825,19.825,1,0.000000,[0.000-19.825]
alu/mem,tg=10 alu=1535660 mem=9,concurrent_1cb,19.616,19.466,19.466,1,0.000000,[0.000-19.466]
alu/alu,tg=40 iters=793926,concurrent_1cb,31.720,31.555,31.555,1,0.000000,[0.000-31.555]
alu/alu,tg=240 iters=201722,two_cb_serial,40.056,39.715,39.715,2,0.000000,[0.000-19.853] [20.020-39.882]
alu/alu,tg=1000 iters=50703,a_only,19.852,19.687,19.687,1,0.000000,[0.000-19.687]
mem/mem,tg=10 iters=9,barrier_1cb,36.972,36.815,36.815,1,0.000000,[0.000-36.815]
mem/mem,tg=20 iters=16,barrier_1cb,39.397,39.244,39.244,1,0.000000,[0.000-39.244]
alu/alu,tg=20 iters=1520646,barrier_1cb,39.559,39.403,39.403,1,0.000000,[0.000-39.403]
alu/mem,tg=10 alu=1535660 mem=9,barrier_1cb,38.654,38.501,38.501,1,0.000000,[0.000-38.501]
gemm/gemm,small M=64 N=64 K=701296 tg=16,two_queue,39.353,76.179,38.092,2,0.499970,[0.004-38.092] [0.000-38.091]
gemm/gemm,half M=128 N=160 K=569744 tg=80,raw_1cb,37.669,37.511,37.511,1,0.000000,[0.000-37.511]
alu/alu,tg=1000 iters=50703,two_queue,39.694,59.945,39.537,2,0.340448,[0.000-20.413] [0.005-39.537]
alu/mem,tg=20 alu=1564873 mem=16,two_cb,20.264,40.119,20.097,2,0.499068,[0.000-20.097] [0.005-20.027]
