gate,polarity,declarations,symbols,n_read_sites,overall_class,site,site_class,reason
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/ContinuousBatchingV2/EngineLoopV2.swift:890,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/ContinuousBatchingV2/EngineLoopV2.swift:896,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/ContinuousBatchingV2/EngineLoopV2.swift:904,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/ContinuousBatchingV2/EngineLoopV2.swift:916,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/ContinuousBatchingV2/EngineLoopV2.swift:918,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/ContinuousBatchingV2/EngineLoopV2.swift:1116,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/ContinuousBatchingV2/EngineLoopV2.swift:1123,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/ContinuousBatchingV2/EngineLoopV2.swift:1184,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/ContinuousBatchingV2/EngineLoopV2.swift:1186,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/ContinuousBatchingV2/EngineLoopV2.swift:1190,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/ContinuousBatchingV2/EngineLoopV2.swift:1192,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/ContinuousBatchingV2/EngineV2.swift:180,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/ContinuousBatchingV2/StepProfilerV2.swift:30,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/ContinuousBatchingV2/StepProfilerV2.swift:41,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/GenerationBatch.swift:545,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/GenerationBatch.swift:560,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/GenerationBatch.swift:600,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/GenerationBatch.swift:603,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/GenerationBatch.swift:604,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/GenerationBatch.swift:617,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Sources/BenchCBv2/BenchCBv2RealModel.swift:152,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Sources/BenchCBv2/BenchCBv2RealModel.swift:981,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Sources/BenchCBv2/BenchCBv2RealModel.swift:986,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Sources/BenchCBv2/BenchCBv2RealModel.swift:995,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Sources/BenchCBv2/BenchCBv2RealModel.swift:1000,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2CompiledDecodeTests.swift:49,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2CompiledDecodeTests.swift:303,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2CompiledDecodeTests.swift:407,LIVE,no default-ON gate dominates this site
