comparison,family,order,quartet,position,arm,mode,request_id,wall_ns,profile_ns,profile_count,eval_ns,token
empty_control,ordinary_layers,ABBA,19,2,B,empty,89,548384167,166.66666666666666,39,143371791.66666666,5991
empty_control,ordinary_layers,ABBA,19,3,A,off,90,546082000,0.0,0,143126166.66666666,5991
empty_control,ordinary_layers,ABBA,20,0,A,off,91,546534500,0.0,0,143216541.66666666,5991
empty_control,ordinary_layers,ABBA,20,1,B,empty,92,546816084,125.0,39,143209875.0,5991
empty_control,ordinary_layers,ABBA,20,2,B,empty,93,547114209,125.0,39,143200791.66666666,5991
empty_control,ordinary_layers,ABBA,20,3,A,off,94,546774125,0.0,0,143367666.66666666,5991
empty_control,ordinary_layers,ABBA,21,0,A,off,95,547296583,0.0,0,143321500.0,5991
empty_control,ordinary_layers,ABBA,21,1,B,empty,96,546321625,208.33333333333334,39,143400416.66666666,5991
empty_control,ordinary_layers,ABBA,21,2,B,empty,97,547565416,166.66666666666666,39,143032041.66666666,5991
empty_control,ordinary_layers,ABBA,21,3,A,off,98,546947209,0.0,0,143342083.33333334,5991
empty_control,ordinary_layers,ABBA,22,0,A,off,99,546282291,0.0,0,142579500.0,5991
empty_control,ordinary_layers,ABBA,22,1,B,empty,100,547997333,83.33333333333333,39,143345291.66666666,5991
empty_control,ordinary_layers,ABBA,22,2,B,empty,101,547584125,208.33333333333334,39,143364083.33333334,5991
empty_control,ordinary_layers,ABBA,22,3,A,off,102,548022459,0.0,0,143423166.66666666,5991
empty_control,ordinary_layers,ABBA,23,0,A,off,103,546994625,0.0,0,143040750.0,5991
empty_control,ordinary_layers,ABBA,23,1,B,empty,104,546409333,208.33333333333334,39,142709500.0,5991
empty_control,ordinary_layers,ABBA,23,2,B,empty,105,547008167,208.33333333333334,39,142517958.33333334,5991
empty_control,ordinary_layers,ABBA,23,3,A,off,106,547893833,0.0,0,142868958.33333334,5991
empty_control,ordinary_layers,ABBA,24,0,A,off,107,547594542,0.0,0,143212000.0,5991
empty_control,ordinary_layers,ABBA,24,1,B,empty,108,547574959,166.66666666666666,39,143141625.0,5991
empty_control,ordinary_layers,ABBA,24,2,B,empty,109,546831333,125.0,39,142937875.0,5991
empty_control,ordinary_layers,ABBA,24,3,A,off,110,546839208,0.0,0,143322000.0,5991
empty_control,ordinary_layers,ABBA,25,0,A,off,111,546942667,0.0,0,143100166.66666666,5991
empty_control,ordinary_layers,ABBA,25,1,B,empty,112,546422208,41.666666666666664,39,143190083.33333334,5991
empty_control,ordinary_layers,ABBA,25,2,B,empty,113,547206250,375.0,39,143283958.33333334,5991
empty_control,ordinary_layers,ABBA,25,3,A,off,114,546574083,0.0,0,143442041.66666666,5991
empty_control,ordinary_layers,ABBA,26,0,A,off,115,546135625,0.0,0,142899791.66666666,5991
empty_control,ordinary_layers,ABBA,26,1,B,empty,116,549386209,208.33333333333334,39,142601041.66666666,5991
empty_control,ordinary_layers,ABBA,26,2,B,empty,117,549630750,291.6666666666667,39,142769041.66666666,5991
empty_control,ordinary_layers,ABBA,26,3,A,off,118,548124833,0.0,0,143630958.33333334,5991
empty_control,ordinary_layers,ABBA,27,0,A,off,119,547907791,0.0,0,143102041.66666666,5991
empty_control,ordinary_layers,ABBA,27,1,B,empty,120,547137959,208.33333333333334,39,143428125.0,5991
empty_control,ordinary_layers,ABBA,27,2,B,empty,121,546684458,41.666666666666664,39,143045000.0,5991
empty_control,ordinary_layers,ABBA,27,3,A,off,122,547300250,0.0,0,143196625.0,5991
empty_control,ordinary_layers,ABBA,28,0,A,off,123,546828750,0.0,0,143043000.0,5991
empty_control,ordinary_layers,ABBA,28,1,B,empty,124,546758375,83.33333333333333,39,142754625.0,5991
empty_control,ordinary_layers,ABBA,28,2,B,empty,125,547701209,125.0,39,143429958.33333334,5991
empty_control,ordinary_layers,ABBA,28,3,A,off,126,547662125,0.0,0,143420458.33333334,5991
empty_control,ordinary_layers,ABBA,29,0,A,off,127,546088500,0.0,0,143431291.66666666,5991
empty_control,ordinary_layers,ABBA,29,1,B,empty,128,546011000,208.33333333333334,39,142689291.66666666,5991
empty_control,ordinary_layers,ABBA,29,2,B,empty,129,549698750,375.0,39,142647416.66666666,5991
empty_control,ordinary_layers,ABBA,29,3,A,off,130,548213917,0.0,0,141988500.0,5991
empty_control,ordinary_layers,ABBA,30,0,A,off,131,563595167,0.0,0,143189750.0,5991
empty_control,ordinary_layers,ABBA,30,1,B,empty,132,547269000,291.6666666666667,39,142893750.0,5991
empty_control,ordinary_layers,ABBA,30,2,B,empty,133,550465292,833.3333333333334,39,142465125.0,5991
empty_control,ordinary_layers,ABBA,30,3,A,off,134,561095334,0.0,0,143135625.0,5991
empty_control,ordinary_layers,ABBA,31,0,A,off,135,547282917,0.0,0,143307083.33333334,5991
empty_control,ordinary_layers,ABBA,31,1,B,empty,136,546551666,250.0,39,143180416.66666666,5991
empty_control,ordinary_layers,ABBA,31,2,B,empty,137,547481209,291.6666666666667,39,143177625.0,5991
empty_control,ordinary_layers,ABBA,31,3,A,off,138,547934334,0.0,0,143325041.66666666,5991
empty_control,ordinary_layers,BAAB,0,0,B,empty,139,546852458,166.66666666666666,39,143037333.33333334,5991
empty_control,ordinary_layers,BAAB,0,1,A,off,140,546414209,0.0,0,142986000.0,5991
empty_control,ordinary_layers,BAAB,0,2,A,off,141,549435125,0.0,0,142472125.0,5991
empty_control,ordinary_layers,BAAB,0,3,B,empty,142,552416084,625.0,39,141886000.0,5991
