label	mode	duplicate_count	step	elapsed_ns	dispatch_count	logical_cache_delta_min	logical_cache_delta_max	physical_cache_delta_min	physical_cache_delta_max	pending_root_count	top8_rotated_overlap_by_layer
b1w1	warm	1	15	9315792	39	1	1	1	1	0	0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,0,0,0,2,1,0,2,0,0,0,0,0,0,1
b1w1	warm	1	16	9241000	39	1	1	1	1	0	0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
b1w1	warm	1	17	9264542	39	1	1	1	1	0	0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0
b1w1	warm	1	18	9257125	39	1	1	1	1	0	0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
b1w1	warm	1	19	9246375	39	1	1	1	1	0	0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
b1w1	warm	1	20	9263833	39	1	1	1	1	0	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0
b1w1	warm	1	21	9242167	39	1	1	1	1	0	0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
b1w1	warm	1	22	9239167	39	1	1	1	1	0	0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0
b1w1	warm	1	23	9274291	39	1	1	1	1	0	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
b1w1	warm	1	24	9272625	39	1	1	1	1	0	0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
b1w1	warm	1	25	9309500	39	1	1	1	1	0	0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0
b1w1	warm	1	26	9260458	39	1	1	1	1	0	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,2,1,0
b1w1	warm	1	27	9261000	39	1	1	1	1	0	0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1
b1w1	warm	1	28	9272167	39	1	1	1	1	0	0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
