name,n,min,max,distinct,rows,row_span_max,blocks,blk_span_max,row_le15,row_le31,blk_le15,blk_le31
L14.routed.packed,33554432,2,31,29,1048576,26,1048576,26,0.999748,1.0,0.999748,1.0
L14.shared.gate_up,131072,1,33,29,1024,29,4096,29,0.958008,1.0,0.983887,1.0
L14.shared.down,65536,1,35,23,2048,25,2048,25,0.995605,1.0,0.995605,1.0
L15.q,1048576,0,26,26,8192,21,32768,21,0.998047,1.0,0.999603,1.0
L15.k,131072,1,21,20,1024,16,4096,15,0.999023,1.0,1.0,1.0
L15.v,131072,3,20,18,1024,16,4096,15,0.996094,1.0,1.0,1.0
L15.o,1048576,1,34,28,2048,28,32768,25,0.989258,1.0,0.999756,1.0
L15.routed.gate_up,33554432,2,32,31,262144,28,1048576,27,0.999077,1.0,0.999735,1.0
L15.routed.down,16777216,2,26,25,524288,22,524288,22,0.999954,1.0,0.999954,1.0
L15.routed.packed,33554432,2,32,31,1048576,27,1048576,27,0.999735,1.0,0.999735,1.0
L15.shared.gate_up,131072,1,27,23,1024,24,4096,24,0.952148,1.0,0.984131,1.0
L15.shared.down,65536,1,31,26,2048,20,2048,20,0.998535,1.0,0.998535,1.0
L16.q,786432,0,25,26,6144,21,24576,21,0.984538,1.0,0.996297,1.0
L16.k,131072,1,18,18,1024,15,4096,14,1.0,1.0,1.0,1.0
L16.v,131072,3,18,16,1024,14,4096,14,1.0,1.0,1.0,1.0
L16.o,786432,1,33,27,2048,27,24576,25,0.995605,1.0,0.999878,1.0
L16.routed.gate_up,33554432,2,35,32,262144,32,1048576,31,0.997906,0.999996,0.999383,1.0
L16.routed.down,16777216,2,28,26,524288,24,524288,24,0.999863,1.0,0.999863,1.0
L16.routed.packed,33554432,2,35,32,1048576,31,1048576,31,0.999383,1.0,0.999383,1.0
L16.shared.gate_up,131072,1,31,30,1024,29,4096,29,0.959961,1.0,0.986572,1.0
L16.shared.down,65536,1,32,25,2048,26,2048,26,0.99707,1.0,0.99707,1.0
L17.q,1048576,0,30,31,8192,23,32768,23,0.992188,1.0,0.997314,1.0
L17.k,131072,2,26,25,1024,22,4096,22,0.977539,1.0,0.994385,1.0
L17.v,131072,2,26,21,1024,22,4096,22,0.995117,1.0,0.998779,1.0
L17.o,1048576,1,40,31,2048,35,32768,31,0.98584,0.999512,0.999573,1.0
L17.routed.gate_up,33554432,2,32,29,262144,25,1048576,25,0.998466,1.0,0.999546,1.0
L17.routed.down,16777216,2,27,24,524288,22,524288,22,0.999922,1.0,0.999922,1.0
L17.routed.packed,33554432,2,32,29,1048576,25,1048576,25,0.999546,1.0,0.999546,1.0
L17.shared.gate_up,131072,1,31,29,1024,30,4096,29,0.972656,1.0,0.991211,1.0
L17.shared.down,65536,1,30,25,2048,27,2048,27,0.996582,1.0,0.996582,1.0
L18.q,1048576,1,25,24,8192,21,32768,20,0.998413,1.0,0.999756,1.0
L18.k,131072,1,25,22,1024,21,4096,21,0.99707,1.0,0.999512,1.0
L18.v,131072,2,16,15,1024,12,4096,12,1.0,1.0,1.0,1.0
L18.o,1048576,1,39,28,2048,32,32768,29,0.995117,0.999512,0.999847,1.0
L18.routed.gate_up,33554432,2,33,31,262144,28,1048576,26,0.998875,1.0,0.999682,1.0
L18.routed.down,16777216,1,26,26,524288,21,524288,21,0.999964,1.0,0.999964,1.0
L18.routed.packed,33554432,2,33,31,1048576,26,1048576,26,0.999682,1.0,0.999682,1.0
L18.shared.gate_up,131072,1,34,31,1024,32,4096,32,0.974609,0.999023,0.991211,0.999756
L18.shared.down,65536,1,34,28,2048,30,2048,30,0.993652,1.0,0.993652,1.0
L19.q,1048576,1,25,25,8192,20,32768,20,0.997437,1.0,0.999451,1.0
L19.k,131072,2,24,22,1024,20,4096,19,0.995117,1.0,0.999023,1.0
L19.v,131072,3,17,15,1024,14,4096,14,1.0,1.0,1.0,1.0
L19.o,1048576,1,41,32,2048,34,32768,28,0.992676,0.999512,0.999756,1.0
L19.routed.gate_up,33554432,2,31,30,262144,27,1048576,27,0.998817,1.0,0.999656,1.0
L19.routed.down,16777216,1,29,27,524288,22,524288,22,0.999962,1.0,0.999962,1.0
L19.routed.packed,33554432,2,31,30,1048576,27,1048576,27,0.999656,1.0,0.999656,1.0
L19.shared.gate_up,131072,1,34,33,1024,32,4096,32,0.921875,0.998047,0.970215,0.999512
L19.shared.down,65536,1,36,31,2048,30,2048,30,0.986328,1.0,0.986328,1.0
L20.q,786432,0,30,30,6144,21,24576,21,0.998047,1.0,0.999512,1.0
L20.k,131072,1,21,18,1024,16,4096,16,0.998047,1.0,0.999756,1.0
L20.v,131072,3,17,15,1024,12,4096,11,1.0,1.0,1.0,1.0
L20.o,786432,1,32,30,2048,24,24576,19,0.998047,1.0,0.999797,1.0
L20.routed.gate_up,33554432,2,38,34,262144,33,1048576,32,0.998169,0.999996,0.999429,0.999999
L20.routed.down,16777216,1,26,26,524288,21,524288,21,0.999941,1.0,0.999941,1.0
L20.routed.packed,33554432,2,38,34,1048576,32,1048576,32,0.999429,0.999999,0.999429,0.999999
L20.shared.gate_up,131072,1,32,28,1024,31,4096,31,0.941406,1.0,0.977295,1.0
L20.shared.down,65536,1,33,28,2048,32,2048,32,0.991699,0.999512,0.991699,0.999512
L21.q,1048576,1,27,27,8192,23,32768,23,0.993896,1.0,0.998413,1.0
L21.k,131072,1,24,22,1024,19,4096,18,0.996094,1.0,0.999268,1.0
L21.v,131072,3,19,17,1024,15,4096,15,1.0,1.0,1.0,1.0
L21.o,1048576,1,39,33,2048,31,32768,23,0.995605,1.0,0.999817,1.0
L21.routed.gate_up,33554432,2,33,31,262144,30,1048576,29,0.99807,1.0,0.999356,1.0
L21.routed.down,16777216,1,30,29,524288,26,524288,26,0.999939,1.0,0.999939,1.0
L21.routed.packed,33554432,2,33,31,1048576,29,1048576,29,0.999356,1.0,0.999356,1.0
L21.shared.gate_up,131072,1,30,25,1024,28,4096,28,0.960938,1.0,0.986084,1.0
L21.shared.down,65536,1,36,26,2048,28,2048,28,0.995605,1.0,0.995605,1.0
L22.q,1048576,1,28,27,8192,22,32768,21,0.998169,1.0,0.999603,1.0
L22.k,131072,1,22,22,1024,18,4096,17,0.993164,1.0,0.998535,1.0
L22.v,131072,3,14,12,1024,10,4096,10,1.0,1.0,1.0,1.0
L22.o,1048576,1,36,28,2048,29,32768,28,0.999512,1.0,0.999908,1.0
L22.routed.gate_up,33554432,2,35,34,262144,31,1048576,31,0.997372,1.0,0.999075,1.0
L22.routed.down,16777216,1,26,25,524288,22,524288,22,0.999958,1.0,0.999958,1.0
L22.routed.packed,33554432,2,35,34,1048576,31,1048576,31,0.999075,1.0,0.999075,1.0
L22.shared.gate_up,131072,1,32,30,1024,26,4096,26,0.959961,1.0,0.983643,1.0
L22.shared.down,65536,1,35,27,2048,27,2048,27,0.991211,1.0,0.991211,1.0
L23.q,1048576,1,27,27,8192,22,32768,22,0.998535,1.0,0.999725,1.0
L23.k,131072,1,26,25,1024,22,4096,22,0.990234,1.0,0.997803,1.0
L23.v,131072,3,17,15,1024,13,4096,13,1.0,1.0,1.0,1.0
L23.o,1048576,1,35,32,2048,28,32768,20,0.992188,1.0,0.999664,1.0
L23.routed.gate_up,33554432,2,39,36,262144,34,1048576,34,0.996746,0.999996,0.998898,0.999998
L23.routed.down,16777216,2,29,26,524288,26,524288,26,0.999939,1.0,0.999939,1.0
L23.routed.packed,33554432,2,39,36,1048576,34,1048576,34,0.998898,0.999998,0.998898,0.999998
L23.shared.gate_up,131072,1,35,30,1024,31,4096,30,0.94043,1.0,0.980225,1.0
L23.shared.down,65536,2,38,27,2048,27,2048,27,0.996094,1.0,0.996094,1.0
L24.q,786432,0,34,34,6144,27,24576,27,0.975586,1.0,0.988932,1.0
L24.k,131072,1,28,27,1024,25,4096,25,0.943359,1.0,0.977783,1.0
L24.v,131072,3,19,17,1024,15,4096,15,1.0,1.0,1.0,1.0
L24.o,786432,1,38,30,2048,30,24576,29,0.993652,1.0,0.999512,1.0
L24.routed.gate_up,33554432,2,37,35,262144,33,1048576,33,0.994343,0.999996,0.9979,0.999999
L24.routed.down,16777216,1,26,25,524288,21,524288,21,0.999964,1.0,0.999964,1.0
L24.routed.packed,33554432,2,37,35,1048576,33,1048576,33,0.9979,0.999999,0.9979,0.999999
L24.shared.gate_up,131072,1,37,31,1024,35,4096,35,0.930664,0.999023,0.971436,0.999756
L24.shared.down,65536,1,28,25,2048,23,2048,23,0.994629,1.0,0.994629,1.0
L25.q,1048576,0,35,36,8192,31,32768,30,0.991089,1.0,0.994598,1.0
L25.k,131072,1,26,26,1024,23,4096,23,0.964844,1.0,0.987305,1.0
L25.v,131072,3,24,21,1024,21,4096,20,0.962891,1.0,0.991211,1.0
L25.o,1048576,2,38,33,2048,30,32768,27,0.971191,1.0,0.997314,1.0
L25.routed.gate_up,33554432,2,39,36,262144,34,1048576,34,0.992195,0.999985,0.997196,0.999998
L25.routed.down,16777216,2,29,28,524288,23,524288,23,0.999947,1.0,0.999947,1.0
L25.routed.packed,33554432,2,39,36,1048576,34,1048576,34,0.997196,0.999998,0.997196,0.999998
L25.shared.gate_up,131072,1,31,26,1024,24,4096,24,0.958008,1.0,0.986328,1.0
L25.shared.down,65536,2,35,22,2048,23,2048,23,0.992676,1.0,0.992676,1.0
L26.q,1048576,1,32,28,8192,22,32768,20,0.99707,1.0,0.999359,1.0
L26.k,131072,1,26,26,1024,22,4096,21,0.982422,1.0,0.996582,1.0
L26.v,131072,3,17,15,1024,13,4096,13,1.0,1.0,1.0,1.0
L26.o,1048576,2,39,31,2048,33,32768,25,0.995117,0.999512,0.999817,1.0
L26.routed.gate_up,33554432,2,37,35,262144,32,1048576,32,0.993816,0.999996,0.997924,0.999999
L26.routed.down,16777216,2,29,28,524288,23,524288,23,0.999968,1.0,0.999968,1.0
L26.routed.packed,33554432,2,37,35,1048576,32,1048576,32,0.997924,0.999999,0.997924,0.999999
