order,cycle,position,arm,seconds
BAAB,40,3,candidate,0.001003792
BAAB,41,0,candidate,0.000999792
BAAB,41,1,control,0.000995125
BAAB,41,2,control,0.000987958
BAAB,41,3,candidate,0.001008959
BAAB,42,0,candidate,0.001009375
BAAB,42,1,control,0.000980875
BAAB,42,2,control,0.000988959
BAAB,42,3,candidate,0.001003375
BAAB,43,0,candidate,0.000979667
BAAB,43,1,control,0.000994583
BAAB,43,2,control,0.000980584
BAAB,43,3,candidate,0.001006833
BAAB,44,0,candidate,0.000999833
BAAB,44,1,control,0.000979833
BAAB,44,2,control,0.000987958
BAAB,44,3,candidate,0.001002875
BAAB,45,0,candidate,0.000973209
BAAB,45,1,control,0.000993208
BAAB,45,2,control,0.001030625
BAAB,45,3,candidate,0.001002667
BAAB,46,0,candidate,0.001000292
BAAB,46,1,control,0.000991083
BAAB,46,2,control,0.000988583
BAAB,46,3,candidate,0.001002792
BAAB,47,0,candidate,0.000978041
BAAB,47,1,control,0.000993916
BAAB,47,2,control,0.000991417
BAAB,47,3,candidate,0.000988000
BAAB,48,0,candidate,0.000998333
BAAB,48,1,control,0.000982875
BAAB,48,2,control,0.000998334
BAAB,48,3,candidate,0.001001333
BAAB,49,0,candidate,0.000977917
BAAB,49,1,control,0.000971791
BAAB,49,2,control,0.000992167
BAAB,49,3,candidate,0.000983750
BAAB,50,0,candidate,0.001005834
BAAB,50,1,control,0.000991250
BAAB,50,2,control,0.000984917
BAAB,50,3,candidate,0.001003917
BAAB,51,0,candidate,0.000988333
BAAB,51,1,control,0.000994416
BAAB,51,2,control,0.000993500
BAAB,51,3,candidate,0.000985083
BAAB,52,0,candidate,0.000997333
BAAB,52,1,control,0.000989666
BAAB,52,2,control,0.000995709
BAAB,52,3,candidate,0.001002166
BAAB,53,0,candidate,0.000978709
BAAB,53,1,control,0.000993875
BAAB,53,2,control,0.000984125
BAAB,53,3,candidate,0.000979792
BAAB,54,0,candidate,0.001002375
BAAB,54,1,control,0.000994000
BAAB,54,2,control,0.000986625
BAAB,54,3,candidate,0.000995583
BAAB,55,0,candidate,0.000987750
BAAB,55,1,control,0.000978084
BAAB,55,2,control,0.000984042
BAAB,55,3,candidate,0.000990541
BAAB,56,0,candidate,0.000999083
BAAB,56,1,control,0.000987792
BAAB,56,2,control,0.000967209
BAAB,56,3,candidate,0.001050291
BAAB,57,0,candidate,0.000986833
BAAB,57,1,control,0.000995375
BAAB,57,2,control,0.000990958
BAAB,57,3,candidate,0.000996583
BAAB,58,0,candidate,0.001001000
BAAB,58,1,control,0.000992708
BAAB,58,2,control,0.000980750
BAAB,58,3,candidate,0.000994209
BAAB,59,0,candidate,0.000997084
BAAB,59,1,control,0.000986542
BAAB,59,2,control,0.000991958
BAAB,59,3,candidate,0.000987542
BAAB,60,0,candidate,0.001000792
BAAB,60,1,control,0.000992375
BAAB,60,2,control,0.000967625
BAAB,60,3,candidate,0.000992584
BAAB,61,0,candidate,0.000998167
BAAB,61,1,control,0.000984167
BAAB,61,2,control,0.000995667
BAAB,61,3,candidate,0.000985709
BAAB,62,0,candidate,0.000996917
BAAB,62,1,control,0.000992500
BAAB,62,2,control,0.000979000
BAAB,62,3,candidate,0.000994000
BAAB,63,0,candidate,0.000993791
BAAB,63,1,control,0.000991917
BAAB,63,2,control,0.000991792
BAAB,63,3,candidate,0.000983459
