stage,block,order,arm,token_index,step_us
confirm,C6,BAAB,qmvse0,18,8331.0
confirm,C6,BAAB,qmvse0,19,8310.0
confirm,C6,BAAB,qmvse0,20,8252.0
confirm,C6,BAAB,qmvse0,21,8223.0
confirm,C6,BAAB,qmvse0,22,8240.0
confirm,C6,BAAB,qmvse0,23,8231.0
confirm,C6,BAAB,qmvse0,24,8220.0
confirm,C6,BAAB,qmvse0,25,8219.0
confirm,C6,BAAB,qmvse0,26,8239.0
confirm,C6,BAAB,qmvse0,27,8227.0
confirm,C6,BAAB,qmvse0,28,8232.0
confirm,C6,BAAB,qmvse0,29,8244.0
confirm,C6,BAAB,qmvse0,30,8261.0
confirm,C6,BAAB,sc0,16,8179.0
confirm,C6,BAAB,sc0,17,8150.0
confirm,C6,BAAB,sc0,18,8177.0
confirm,C6,BAAB,sc0,19,8238.0
confirm,C6,BAAB,sc0,20,8189.0
confirm,C6,BAAB,sc0,21,8217.0
confirm,C6,BAAB,sc0,22,8048.0
confirm,C6,BAAB,sc0,23,8315.0
confirm,C6,BAAB,sc0,24,8284.0
confirm,C6,BAAB,sc0,25,8168.0
confirm,C6,BAAB,sc0,26,8184.0
confirm,C6,BAAB,sc0,27,8233.0
confirm,C6,BAAB,sc0,28,8226.0
confirm,C6,BAAB,sc0,29,8230.0
confirm,C6,BAAB,sc0,30,8247.0
confirm,C7,ABBA,ctl,16,8172.0
confirm,C7,ABBA,ctl,17,8151.0
confirm,C7,ABBA,ctl,18,8160.0
confirm,C7,ABBA,ctl,19,8171.0
confirm,C7,ABBA,ctl,20,8190.0
confirm,C7,ABBA,ctl,21,8228.0
confirm,C7,ABBA,ctl,22,8261.0
confirm,C7,ABBA,ctl,23,8245.0
confirm,C7,ABBA,ctl,24,8275.0
confirm,C7,ABBA,ctl,25,8218.0
confirm,C7,ABBA,ctl,26,8213.0
confirm,C7,ABBA,ctl,27,8200.0
confirm,C7,ABBA,ctl,28,8189.0
confirm,C7,ABBA,ctl,29,8176.0
confirm,C7,ABBA,ctl,30,8173.0
screen,S1,ABBA,ctl,16,8428.0
screen,S1,ABBA,ctl,17,8211.0
screen,S1,ABBA,ctl,18,8201.0
screen,S1,ABBA,ctl,19,8177.0
screen,S1,ABBA,ctl,20,8192.0
screen,S1,ABBA,ctl,21,8198.0
screen,S1,ABBA,ctl,22,8159.0
screen,S1,ABBA,ctl,23,8241.0
screen,S1,ABBA,ctl,24,8189.0
screen,S1,ABBA,ctl,25,8202.0
screen,S1,ABBA,ctl,26,8287.0
screen,S1,ABBA,ctl,27,8168.0
screen,S1,ABBA,ctl,28,8217.0
screen,S1,ABBA,ctl,29,8154.0
screen,S1,ABBA,ctl,30,8252.0
screen,S1,ABBA,ns0,16,8212.0
screen,S1,ABBA,ns0,17,8195.0
screen,S1,ABBA,ns0,18,8187.0
screen,S1,ABBA,ns0,19,8195.0
screen,S1,ABBA,ns0,20,8193.0
screen,S1,ABBA,ns0,21,8199.0
screen,S1,ABBA,ns0,22,8171.0
screen,S1,ABBA,ns0,23,8183.0
screen,S1,ABBA,ns0,24,8193.0
screen,S1,ABBA,ns0,25,8203.0
screen,S1,ABBA,ns0,26,8225.0
screen,S1,ABBA,ns0,27,8219.0
screen,S1,ABBA,ns0,28,8229.0
screen,S1,ABBA,ns0,29,8219.0
screen,S1,ABBA,ns0,30,8208.0
screen,S1,ABBA,ns2,16,8216.0
screen,S1,ABBA,ns2,17,8166.0
screen,S1,ABBA,ns2,18,8157.0
screen,S1,ABBA,ns2,19,8181.0
screen,S1,ABBA,ns2,20,8197.0
screen,S1,ABBA,ns2,21,8202.0
screen,S1,ABBA,ns2,22,8180.0
screen,S1,ABBA,ns2,23,8191.0
screen,S1,ABBA,ns2,24,8199.0
screen,S1,ABBA,ns2,25,8206.0
screen,S1,ABBA,ns2,26,8228.0
screen,S1,ABBA,ns2,27,8268.0
screen,S1,ABBA,ns2,28,8253.0
screen,S1,ABBA,ns2,29,8253.0
screen,S1,ABBA,ns2,30,8182.0
screen,S1,ABBA,qmvsc0,16,8225.0
screen,S1,ABBA,qmvsc0,17,8142.0
screen,S1,ABBA,qmvsc0,18,8210.0
screen,S1,ABBA,qmvsc0,19,8241.0
screen,S1,ABBA,qmvsc0,20,8392.0
screen,S1,ABBA,qmvsc0,21,8261.0
screen,S1,ABBA,qmvsc0,22,8307.0
screen,S1,ABBA,qmvsc0,23,8268.0
screen,S1,ABBA,qmvsc0,24,8257.0
screen,S1,ABBA,qmvsc0,25,8373.0
screen,S1,ABBA,qmvsc0,26,8269.0
screen,S1,ABBA,qmvsc0,27,8184.0
screen,S1,ABBA,qmvsc0,28,8346.0
screen,S1,ABBA,qmvsc0,29,8262.0
screen,S1,ABBA,qmvsc0,30,8297.0
screen,S1,ABBA,qmvse0,16,8313.0
screen,S1,ABBA,qmvse0,17,8282.0
screen,S1,ABBA,qmvse0,18,8135.0
screen,S1,ABBA,qmvse0,19,8195.0
screen,S1,ABBA,qmvse0,20,8076.0
screen,S1,ABBA,qmvse0,21,8179.0
screen,S1,ABBA,qmvse0,22,8187.0
screen,S1,ABBA,qmvse0,23,8172.0
screen,S1,ABBA,qmvse0,24,8190.0
screen,S1,ABBA,qmvse0,25,8207.0
screen,S1,ABBA,qmvse0,26,8223.0
screen,S1,ABBA,qmvse0,27,8247.0
screen,S1,ABBA,qmvse0,28,8312.0
screen,S1,ABBA,qmvse0,29,8244.0
screen,S1,ABBA,qmvse0,30,8249.0
screen,S1,ABBA,qse0,16,8210.0
screen,S1,ABBA,qse0,17,8199.0
screen,S1,ABBA,qse0,18,8190.0
screen,S1,ABBA,qse0,19,8229.0
screen,S1,ABBA,qse0,20,8215.0
screen,S1,ABBA,qse0,21,8269.0
screen,S1,ABBA,qse0,22,8241.0
screen,S1,ABBA,qse0,23,8170.0
screen,S1,ABBA,qse0,24,8263.0
screen,S1,ABBA,qse0,25,8197.0
screen,S1,ABBA,qse0,26,8258.0
screen,S1,ABBA,qse0,27,8179.0
screen,S1,ABBA,qse0,28,8262.0
screen,S1,ABBA,qse0,29,8277.0
screen,S1,ABBA,qse0,30,8004.0
screen,S1,ABBA,sc0,16,8187.0
screen,S1,ABBA,sc0,17,8221.0
screen,S1,ABBA,sc0,18,8214.0
screen,S1,ABBA,sc0,19,8192.0
screen,S1,ABBA,sc0,20,8186.0
screen,S1,ABBA,sc0,21,8184.0
screen,S1,ABBA,sc0,22,8171.0
screen,S1,ABBA,sc0,23,8173.0
screen,S1,ABBA,sc0,24,8191.0
screen,S1,ABBA,sc0,25,8165.0
screen,S1,ABBA,sc0,26,8199.0
screen,S1,ABBA,sc0,27,8186.0
screen,S1,ABBA,sc0,28,8083.0
screen,S1,ABBA,sc0,29,8099.0
screen,S1,ABBA,sc0,30,8202.0
screen,S1,ABBA,sd0,16,8269.0
screen,S1,ABBA,sd0,17,8217.0
screen,S1,ABBA,sd0,18,8102.0
screen,S1,ABBA,sd0,19,8123.0
screen,S1,ABBA,sd0,20,8145.0
screen,S1,ABBA,sd0,21,8089.0
screen,S1,ABBA,sd0,22,8063.0
screen,S1,ABBA,sd0,23,8202.0
screen,S1,ABBA,sd0,24,8663.0
screen,S1,ABBA,sd0,25,8378.0
screen,S1,ABBA,sd0,26,8388.0
screen,S1,ABBA,sd0,27,8353.0
screen,S1,ABBA,sd0,28,8364.0
screen,S1,ABBA,sd0,29,8344.0
screen,S1,ABBA,sd0,30,8365.0
screen,S1,ABBA,sfd1,16,8256.0
screen,S1,ABBA,sfd1,17,8426.0
screen,S1,ABBA,sfd1,18,8288.0
screen,S1,ABBA,sfd1,19,8272.0
screen,S1,ABBA,sfd1,20,8219.0
screen,S1,ABBA,sfd1,21,8229.0
screen,S1,ABBA,sfd1,22,8252.0
screen,S1,ABBA,sfd1,23,8248.0
screen,S1,ABBA,sfd1,24,8219.0
screen,S1,ABBA,sfd1,25,8232.0
screen,S1,ABBA,sfd1,26,8245.0
screen,S1,ABBA,sfd1,27,8233.0
screen,S1,ABBA,sfd1,28,8245.0
screen,S1,ABBA,sfd1,29,8261.0
screen,S1,ABBA,sfd1,30,8351.0
screen,S2,BAAB,ctl,16,8175.0
screen,S2,BAAB,ctl,17,8152.0
screen,S2,BAAB,ctl,18,8173.0
screen,S2,BAAB,ctl,19,8167.0
screen,S2,BAAB,ctl,20,8169.0
screen,S2,BAAB,ctl,21,8189.0
